plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Audit Documentation and Working Papers	Audit Procedures	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Audit Evidence Techniques	Audit Evidence	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Sampling Techniques in Auditing	Audit Procedures	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Reliability of Audit Evidence in Financial Auditing	Audit Evidence	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Analytical Procedures	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Audit Sampling: Statistical and Nonstatistical Approaches	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	Audit of Accounting Estimates and Fair Values	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Evidence and Sampling	External Confirmations	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Substantive Testing Procedures in Auditing	Audit Procedures	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Cash and Bank Balances	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Investments, Equity, and Financing	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Payroll and Personnel	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Property, Plant and Equipment	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Purchases, Payables, and Inventory	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Procedures by Transaction Cycle	Audit of Revenue and Receivables	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Completion Procedures	Going Concern Assessment in Accounting	Special Areas	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Completion Procedures	Subsequent Events in Financial Reporting	Special Areas	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Completion Procedures	Final Analytical Procedures and Overall Review	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Completion Procedures	Related Parties in an Audit	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Completion Procedures	Written Representations	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Adverse Opinion in Audit Reports	Audit Reports	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Audit Reports: Disclaimer of Opinion	Audit Reports	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Qualified Opinion in Audit Reports	Audit Reports	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Unmodified Opinion in Audit Reports	Audit Reports	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Communication with Those Charged with Governance	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Comparative Information and Other Information	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Emphasis of Matter and Other Matter Paragraphs	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit Communication and Reporting	Key Audit Matters	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Auditing in a CIS and Technology Environment	Computer-Assisted Audit Techniques and Data Analytics	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Auditing in a CIS and Technology Environment	Cybersecurity and Technology Risks Relevant to Audit	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Auditing in a CIS and Technology Environment	IT General Controls and Application Controls	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Attestation, Review and Related Services	Agreed-Upon Procedures Engagements	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Attestation, Review and Related Services	Compilation Engagements	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Attestation, Review and Related Services	Other Assurance and Attestation Engagements	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Attestation, Review and Related Services	Review Engagements	Auditing	ACCOUNTANCY	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Obligations	Obligations and Contracts in Accountancy's Regulatory Framework	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Obligations	Joint and Solidary Obligations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Obligations	Nature, Sources, and Kinds of Obligations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Obligations	Performance, Breach, and Extinguishment of Obligations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Contracts	Defective Contracts: Rescissible, Voidable, Unenforceable, and Void	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Contracts	Essential Requisites and Stages of Contracts	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Contracts	Interpretation, Reformation, and Rescission of Contracts	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Sales	Sales in Regulatory Framework and Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Sales	Consumer Sales and Special Sales Transactions	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Sales	Contract of Sale: Formation, Obligations, and Warranties	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Sales	Transfer of Ownership, Risk of Loss, and Remedies in Sales	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Credit Transactions in Accountancy: Regulatory Framework and Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Negotiable Instruments in Accountancy and Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Deposit and Guaranty	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Loan and Commodatum	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Negotiable Instruments: Parties, Negotiation, and Liability	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Pledge, Mortgage, and Antichresis	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Credit Transactions	Credit Transactions in Accountancy: Regulatory Framework and Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Excluded
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Partnerships	Partnership in Business Law and Accountancy	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Partnerships	Partnership Formation, Relations, Property, and Dissolution	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Corporation Code in Philippine Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Board of Directors, Officers, and Corporate Governance	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Cooperatives and Other Business Organizations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Corporate Reorganization, Merger, and Dissolution	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	One Person Corporations and Close Corporations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Revised Corporation Code: Formation and Corporate Powers	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Corporations and Other Business Organizations	Stockholders, Shares, Meetings, and Appraisal Rights	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Securities Regulation	Insider Trading, Market Manipulation, and Tender Offers	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Securities Regulation	Securities Regulation Code: Registration and Exempt Transactions	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Banking, Insurance and Financial Regulation	Overview of the Insurance Code	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Banking, Insurance and Financial Regulation	General Banking Law and Bank Secrecy	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Banking, Insurance and Financial Regulation	Insurance Contract Fundamentals and Regulation	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Anti-Money Laundering and Related Compliance	Anti-Money Laundering Act: Covered Persons, Transactions, and Reporting	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Anti-Money Laundering and Related Compliance	Customer Due Diligence, Recordkeeping, and Suspicious Transaction Reporting	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Labor and Social Legislation	Labor Code as a Regulatory Framework in Philippine Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Labor and Social Legislation	Labor Standards: Wages, Hours, Leaves, and Benefits	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Labor and Social Legislation	SSS, GSIS, PhilHealth, and Pag-IBIG Fundamentals	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Labor and Social Legislation	Termination of Employment and Labor Relations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Intellectual Property, Data Privacy and Business Regulation	Intellectual Property in Accounting and Business Law	Regulatory Framework & Business Law	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	Existing
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Intellectual Property, Data Privacy and Business Regulation	Competition Law and Consumer Protection Fundamentals	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Intellectual Property, Data Privacy and Business Regulation	Data Privacy Act: Principles, Rights, and Obligations	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Intellectual Property, Data Privacy and Business Regulation	Ease of Doing Business and Anti-Red Tape Requirements	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
5	⚖️ Regulatory Framework for Business Transactions	The Philippine legal framework governing obligations and contracts, business organizations (partnerships and corporations), negotiable instruments, sales, credit transactions, and related commercial statutes.	Intellectual Property, Data Privacy and Business Regulation	Intellectual Property Rights in Business	Regulatory Framework for Business Transactions	PROFESSIONAL_PRACTICE_AND_REGULATION	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Percentage Tax Principles and Application	Basic Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Philippine Tax Administration: Structure and Functions	Advanced Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Transfer Pricing in Accountancy	Performance	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Capital Gains Tax	Other Taxes	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Zero-Rated Transactions in Business Taxation	Business Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	BIR Powers, Taxpayer Registration, and Administrative Requirements	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Constitutional and Inherent Limitations on Taxation	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Principles of Taxation and Tax Administration	Sources, Situs, and Classification of Taxes	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Remedies	Tax Remedies and Assessments in Advanced Taxation	Advanced Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Remedies	Tax Assessment, Protest, and Administrative Appeal	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Remedies	Tax Collection Remedies and Prescriptive Periods	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Remedies	Tax Refunds and Tax Credits	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Individual Income Tax	Fundamentals of Individual Income Taxation	Basic Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Individual Income Tax	Compensation, Business, Professional, and Passive Income of Individuals	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Individual Income Tax	Taxation of Mixed-Income Earners	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Individual Income Tax	Taxation of Resident Citizens, Nonresident Citizens, and Aliens	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Deductions from Gross Income under Income Tax Law	Income Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Distinguishing Gross Income and Taxable Income in Income Tax	Income Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Itemized Deductions in Income Tax Accounting	Income Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Optional Standard Deduction (OSD) in Philippine Income Tax	Income Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Regular Corporate Income Tax and Minimum Corporate Income Tax	Taxation	ACCOUNTANCY	Accountancy	New
