plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	High-Acuity Monitoring and Equipment	High-Acuity Monitoring, Life-Support Equipment, and Critical Care Nursing	Medical – Surgical Nursing	NURSING	Nursing	New
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Preventing Medication Errors in Nursing Practice	Patient Safety	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Pharmacology Core Drug Classes and Nursing Responsibilities	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Safe Medication Practices in Nursing	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Drug Interactions and Contraindications	Clinical Pharmacy	NURSING	Pharmacy	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Pharmacodynamics: Agonists, Antagonists, and Receptors	Pharmacodynamics	NURSING	Pharmacy	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Principles of Pharmacology	Pharmacokinetics: Drug Absorption, Distribution, Metabolism, and Excretion	Pharmacokinetics	NURSING	Pharmacy	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Medication Administration and Safety	Medication Administration Rights in Nursing	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Medication Administration and Safety	Medication Safety and Rights of Medication Administration in Nursing	Patient Safety	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Medication Administration and Safety	Medication Safety and Patient Counseling	Pharmacy Practice	NURSING	Pharmacy	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Medication Administration and Safety	Proper Use and Precautions of Over-the-Counter Drugs	Pharmacy Practice	NURSING	Pharmacy	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Anti-Infective Pharmacology	Antibiotics: Mechanism of Action and Resistance	Pharmacology	NURSING	Pharmacy	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Anti-Infective Pharmacology	Antibiotic Classes in Pharmacology for Nursing	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Cardiovascular and Hematologic Pharmacology	Pharmacological Management of Hypertension: Antihypertensive Drugs	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Cardiovascular and Hematologic Pharmacology	Pharmacology and Clinical Application of Anticoagulants in Nursing Practice	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Cardiovascular and Hematologic Pharmacology	Comparison of Common Anticoagulants in Nursing Pharmacology	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Endocrine Pharmacology	Pharmacology of Insulin: Types and Their Peak Action Times	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Endocrine Pharmacology	Pharmacological Management of Diabetes	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Respiratory and Gastrointestinal Pharmacology	Respiratory and Gastrointestinal Pharmacology for Nursing	Pharmacology	NURSING	Nursing	New
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Pain, Neurologic, and Other Common Drug Classes	Opioid Medications and Safety Precautions in Nursing Practice	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Pain, Neurologic, and Other Common Drug Classes	Pharmacological Approaches to Pain Management in Nursing	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Psychiatric Pharmacology	Psychiatric Pharmacology: Major Drug Classes and Nursing Responsibilities	Pharmacology	NURSING	Nursing	New
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	High-Alert Medications, Toxicities, and Antidotes	Common Drug Toxicities in Nursing Pharmacology	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	High-Alert Medications, Toxicities, and Antidotes	Adverse Drug Reactions in Clinical Nursing Practice	Pharmacology	NURSING	Nursing	Existing
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	High-Alert Medications, Toxicities, and Antidotes	High Alert Medications in Nursing Pharmacology	Pharmacology	NURSING	Nursing	Reuse
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	High-Alert Medications, Toxicities, and Antidotes	High Alert Medications in Nursing Practice	Pharmacology	(unset)	Nursing	Excluded
9	💊 Pharmacology, Medication Management, and Dosage Calculation	Build the medication knowledge repeatedly integrated across PNLE situations: pharmacokinetics and pharmacodynamics, drug classes, adverse effects, medication safety, high-alert medications, patient teaching, and dosage/infusion calculations.	Dosage, IV, and Infusion Calculations	Dosage Calculations and Concentration Problems	Pharmaceutical Calculations	NURSING	Pharmacy	Existing
